iteration,instances,attributes,runtime_total,runtime_max,elapsed,eden_count,eden_time,eden_peak,eden_used,old_count,old_time,old_peak,old_used,surv_peak,surv_used,thread_used,iter_mem
500,15120,55,257425408,3817865216,555783,430,3614,1177550848,96388936,12,1870,644159136,326149016,162627952,4548600,547.312351,28114920
750,15120,55,257425408,3817865216,824270,770,6043,1140850688,175672384,15,2954,664164360,481261640,235654696,3138496,811.502971,30308296
1000,15120,55,257425408,3817865216,1099280,727,7757,1257766912,106532392,17,4760,1058269120,642133776,223597160,4620288,1083.289541,29537528
1250,15120,55,257425408,3817865216,1362557,814,9525,1233649664,43659968,18,5990,1365074952,796672792,218563824,4573552,1342.615761,31158416
1500,15120,55,257425408,3817865216,1611607,947,11532,1203240960,153472248,19,7716,1656439640,956409336,220168520,5013504,1590.743627,30202592
1750,15120,55,257425408,3817865216,1954325,974,13135,1257766912,254570784,20,9103,1987049144,1116618416,232881856,6286432,1923.867591,31601800
2000,15120,55,257425408,3817865216,2219999,970,16249,1294467072,172639208,22,11387,1992837864,1268542576,230294016,5111808,2179.188507,30922496
2250,15120,55,257425408,3817865216,2531694,1122,17931,1367343104,212058352,23,13163,2255685056,1425572584,229707128,5177344,2484.713071,31025440
2500,15120,55,257425408,3817865216,2643272,1317,18130,1369440256,223725760,25,13349,2363748480,1586494944,208798296,6586368,2608.414708,32711504
2750,15120,55,257425408,3817865216,2933851,1228,21304,1371537408,673919024,25,16596,2862029880,1727780256,232655896,14329680,2890.736365,39295488
3000,15120,55,257425408,3817865216,3260797,1279,23418,1366294528,357807704,26,18147,2846570984,1896691336,227366168,12315408,3213.519121,37624464
3250,15120,55,257425408,3817865216,3527898,1458,25619,1371537408,270312896,27,19621,2843707296,2053939696,242991240,5505024,3473.945002,32278416
3500,15120,55,257425408,3817865216,3708378,1630,26078,1350041600,21449464,28,19936,2849929352,2213819128,250906184,3787120,3656.869543,35721096
3750,15120,55,257425408,3817865216,4024266,1748,28491,1363148800,373903944,30,22837,2845286696,2362340240,232100944,14417920,3966.30599,40363664
4000,15120,55,257425408,3817865216,4226034,2044,29052,1366294528,472074304,31,23560,2856997304,2521414352,215437824,13168304,4166.588989,37227224
4250,15120,55,257425408,3817865216,4565358,2273,30975,1289224192,164167704,32,25406,2855986200,2695792808,216787552,3426672,4500.43013,33903904
4500,15120,55,257425408,3817865216,4867306,1639,32636,1372061696,189101448,37,31986,2848822752,2843788232,218297672,0,4790.012649,45994448
4750,15120,55,257425408,3817865216,5158652,1817,86464,1087897600,352998032,44,42149,2863660304,2770421448,275763728,239520112,5020.516683,43558856
5000,15120,55,257425408,3817865216,5481935,1902,98434,1116733440,535155928,105,128959,2863659704,2863518328,261150008,0,5246.852913,36840704
5250,15120,55,257425408,3817865216,6063278,1903,98129,1159725056,661902136,266,313337,2863656712,2863518184,265291336,0,5641.977544,33114648
5500,15120,55,257425408,3817865216,6612737,1904,99948,1135083520,727401544,498,587261,2863658256,2863520728,263083320,0,5914.807685,30104568
5750,15120,55,257425408,3817865216,7755361,1903,104385,1174405120,839818712,904,1163950,2863661040,2863451952,263489080,0,6460.461066,26710736
6000,15120,55,257425408,3817865216,1250486,204,5830,1182793728,58032,486,618643,2863661048,9449240,203884112,0,625.090812,24961032
